City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Yumen,CN,40.2833,97.2,23.41,52,98,16.58,overcast clouds
183,Ust-Omchug,RU,61.15,149.6333,-29.33,95,99,1.77,overcast clouds
184,Grindavik,IS,63.8424,-22.4338,34.27,60,75,13.8,broken clouds
185,Lata,PT,40.1629,-8.3327,52.72,67,100,0.54,overcast clouds
186,Caravelas,BR,-17.7125,-39.2481,77.88,84,2,6.55,clear sky
187,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,4.61,clear sky
188,Ribeira Grande,PT,38.5167,-28.7,59.83,73,100,8.43,overcast clouds
189,Tautira,PF,-17.7333,-149.15,86.02,72,67,12.03,broken clouds
190,Coihaique,CL,-45.5752,-72.0662,57.81,41,20,10.36,few clouds
191,Den Helder,NL,52.9599,4.7593,43.02,72,100,23.02,overcast clouds
192,Betioky,MG,-23.7167,44.3833,74.17,83,17,9.42,few clouds
193,Upernavik,GL,72.7868,-56.1549,-7.8,98,97,7.36,overcast clouds
194,Asau,RO,46.4333,26.4,39.76,87,59,6.85,broken clouds
195,Goderich,CA,43.7501,-81.7165,30.52,74,100,10.36,overcast clouds
196,Naze,JP,28.3667,129.4833,56.32,63,82,9.44,broken clouds
197,Rapid Valley,US,44.0625,-103.1463,61.07,37,100,24.16,overcast clouds
198,Kondoa,TZ,-4.9,35.7833,60.8,94,87,2.17,overcast clouds
199,Beloha,MG,-25.1667,45.05,72.73,92,55,9.82,broken clouds
200,Hofn,IS,64.2539,-15.2082,26.78,59,13,9.82,few clouds
201,Carutapera,BR,-1.195,-46.02,75.58,93,100,5.23,moderate rain
202,Kirkenaer,NO,60.4564,12.0582,28.45,94,20,3.18,few clouds
203,Acapulco,MX,16.8634,-99.8901,80.78,56,98,8.43,overcast clouds
204,Abu Dhabi,AE,24.4667,54.3667,66.96,86,0,1.14,clear sky
205,Port Hardy,CA,50.6996,-127.4199,49.75,87,100,9.22,overcast clouds
206,Wattegama,LK,6.7989,81.4808,70.74,94,84,2.68,moderate rain
207,Dire,ML,12.2833,-10.9667,78.93,13,0,2.42,clear sky
208,Klaksvik,FO,62.2266,-6.589,32.92,69,90,16.62,overcast clouds
209,Krasnoyarka,RU,55.3333,73.1167,-11.25,100,27,4.99,scattered clouds
210,Stendal,DE,52.6,11.85,42.17,75,100,1.01,overcast clouds
211,Tonj,SS,7.2737,28.6822,80.65,23,40,6.91,scattered clouds
212,Turukhansk,RU,65.8167,87.9833,-25.46,99,11,4.61,few clouds
213,Paamiut,GL,61.994,-49.6678,10.78,72,100,9.75,overcast clouds
214,Hay River,CA,60.8156,-115.7999,-9.42,70,75,6.91,broken clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,76,94,7.92,overcast clouds
216,Katsuura,JP,35.1333,140.3,39.18,83,100,20.6,overcast clouds
217,Kachug,RU,53.9606,105.8817,-32.6,100,86,1.03,overcast clouds
218,Port-Gentil,GA,-0.7193,8.7815,80.85,81,87,7.31,overcast clouds
219,Manacapuru,BR,-3.2997,-60.6206,82.98,90,98,3.06,overcast clouds
220,Kibala,TD,9.1104,18.3463,71.55,40,0,0.0,clear sky
221,La Palma,US,33.8464,-118.0467,90.18,21,0,5.01,clear sky
222,Bardiyah,LY,31.7561,25.0865,53.22,67,5,6.82,clear sky
223,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,40,3.44,scattered clouds
224,Talara,PE,-4.5772,-81.2719,81.36,57,0,13.8,clear sky
225,Codrington,AU,-38.2667,141.9667,63.66,64,65,16.42,broken clouds
226,Urucara,BR,-2.5364,-57.76,75.27,96,92,2.33,overcast clouds
227,Faanui,PF,-16.4833,-151.75,81.79,73,49,16.06,scattered clouds
228,Hasaki,JP,35.7333,140.8333,34.29,70,100,25.59,overcast clouds
229,Richards Bay,ZA,-28.783,32.0377,71.44,88,4,5.73,clear sky
230,Belaya Gora,RU,68.5333,146.4167,-41.53,99,38,4.05,scattered clouds
231,Dutlwe,BW,-23.9833,23.9,76.46,45,50,12.82,scattered clouds
232,Vestmanna,FO,62.1564,-7.1664,31.12,93,75,17.27,light snow
233,Troitskoye,RU,52.9821,84.6757,-16.42,100,23,3.02,few clouds
234,Catuday,PH,16.2923,119.8062,75.65,71,87,10.69,overcast clouds
235,Saint-Augustin,CA,51.226,-58.6502,27.7,97,100,7.18,overcast clouds
236,Sungairaya,ID,0.7,108.9,74.97,96,100,10.31,overcast clouds
237,Mujiayingzi,CN,42.1167,118.7833,16.66,58,0,4.16,clear sky
238,Rostovka,RU,55.3842,71.8891,-19.84,100,18,6.78,few clouds
239,Mount Gambier,AU,-37.8333,140.7667,58.91,82,81,6.91,broken clouds
240,Touros,BR,-5.1989,-35.4608,83.3,72,35,13.44,scattered clouds
241,Mao,ES,39.8885,4.2658,45.16,100,0,1.14,clear sky
242,Staryy Nadym,RU,65.6118,72.6842,2.3,82,7,18.03,clear sky
243,Yantal,RU,56.8471,105.2542,-26.05,100,42,2.73,scattered clouds
244,Aklavik,CA,68.2191,-135.0107,-15.77,69,75,3.44,light snow
245,Tayoltita,MX,24.0833,-105.9333,70.18,20,37,6.8,scattered clouds
246,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.04,93,93,8.28,overcast clouds
247,Dicabisagan,PH,17.0818,122.4157,74.66,87,100,6.67,overcast clouds
248,Tuatapere,NZ,-46.1333,167.6833,61.83,73,92,6.98,overcast clouds
249,Mana,GF,5.6592,-53.7767,77.29,83,78,12.06,light rain
250,Moramanga,MG,-18.9333,48.2,65.66,93,76,2.19,broken clouds
251,Bela,IN,25.9333,81.9833,50.63,78,0,7.92,clear sky
252,Pangai,TO,-19.8,-174.35,82.22,75,100,17.05,overcast clouds
253,Bamboo,JM,18.3922,-77.2643,73.36,85,36,8.14,scattered clouds
254,Iqaluit,CA,63.7506,-68.5145,-5.31,76,100,2.3,light snow
255,Alyangula,AU,-13.8483,136.4192,84.07,66,70,5.66,broken clouds
256,Dehloran,IR,32.6941,47.2679,58.55,48,99,11.86,overcast clouds
257,Libenge,CD,3.65,18.6333,75.56,21,15,1.72,few clouds
258,Pangody,RU,65.85,74.4859,1.17,80,11,16.96,few clouds
259,Tocopilla,CL,-22.092,-70.1979,68.59,68,16,4.88,few clouds
260,Ahuimanu,US,21.4447,-157.8378,80.85,61,12,5.01,few clouds
261,Raymondville,US,26.4815,-97.7831,66.31,59,98,9.78,overcast clouds
262,Mogadishu,SO,2.0371,45.3438,76.42,78,19,22.03,few clouds
263,The Valley,AI,18.217,-63.0578,78.94,73,75,12.66,broken clouds
264,Karratha,AU,-20.7377,116.8463,84.38,73,14,12.06,few clouds
265,Makasar,ID,-5.14,119.4221,75.25,100,20,3.44,few clouds
266,Pinos,MX,22.3,-101.5667,61.79,16,2,11.12,clear sky
267,Correntina,BR,-13.3433,-44.6367,71.67,79,90,5.03,overcast clouds
268,Salym,RU,60.0625,71.4789,-7.15,97,8,5.61,clear sky
269,Benguela,AO,-12.5763,13.4055,75.81,68,100,2.57,overcast clouds
270,Nikolskoye,RU,59.7035,30.7861,34.88,86,98,9.75,overcast clouds
271,Tessalit,ML,20.1986,1.0114,64.2,12,8,10.67,clear sky
272,Kayerkan,RU,69.3497,87.7602,-1.48,84,27,9.42,scattered clouds
273,Vao,NC,-22.6667,167.4833,81.3,87,100,37.96,moderate rain
274,Hargeysa,SO,9.56,44.065,54.84,88,22,10.18,few clouds
275,Cidreira,BR,-30.1811,-50.2056,74.37,81,6,18.9,clear sky
276,Kudahuvadhoo,MV,2.6708,72.8944,80.83,75,61,9.89,broken clouds
277,Hambantota,LK,6.1241,81.1185,75.51,87,62,6.29,broken clouds
278,Santa Cruz,BO,-17.8,-63.1667,89.65,48,20,13.8,few clouds
279,Agadez,NE,19.75,10.25,58.64,26,0,6.33,clear sky
280,Panzhihua,CN,26.5851,101.7128,46.04,73,1,1.54,clear sky
281,Mackenzie,CA,55.2999,-123.1698,41.22,36,0,16.11,clear sky
282,Gobabis,NA,-22.45,18.9667,69.96,65,86,11.7,overcast clouds
283,Vila,PT,42.0304,-8.1588,44.33,85,57,3.65,broken clouds
284,Walvis Bay,NA,-22.9575,14.5053,72.55,83,35,8.05,scattered clouds
285,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,88,20,8.79,few clouds
286,Muroto,JP,33.2833,134.15,35.64,62,16,7.96,few clouds
287,Rocha,UY,-34.4833,-54.3333,68.99,70,0,13.06,clear sky
