City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Carutapera,BR,75.58,moderate rain,-1.195,-46.02,Lidera
204,Abu Dhabi,AE,66.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
205,Port Hardy,CA,49.75,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
210,Stendal,DE,42.17,overcast clouds,52.6,11.85,Hotel Schwarzer Adler Stendal
215,Vila Franca Do Campo,PT,60.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
220,Kibala,TD,71.55,clear sky,9.1104,18.3463,hotel safari
222,Bardiyah,LY,53.22,clear sky,31.7561,25.0865,بورتو بردية
223,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
225,Codrington,AU,63.66,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
226,Urucara,BR,75.27,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
229,Richards Bay,ZA,71.44,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
234,Catuday,PH,75.65,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
236,Sungairaya,ID,74.97,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
239,Mount Gambier,AU,58.91,broken clouds,-37.8333,140.7667,The Commodore
241,Mao,ES,45.16,clear sky,39.8885,4.2658,ARTIEM Capri
245,Tayoltita,MX,70.18,scattered clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
246,Sao Joao Da Barra,BR,73.04,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
247,Dicabisagan,PH,74.66,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
248,Tuatapere,NZ,61.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
249,Mana,GF,77.29,light rain,5.6592,-53.7767,LE SAMANA
250,Moramanga,MG,65.66,broken clouds,-18.9333,48.2,Espace VANILLA
251,Bela,IN,50.63,clear sky,25.9333,81.9833,Raj Bhawan
253,Bamboo,JM,73.36,scattered clouds,18.3922,-77.2643,The Retreat
256,Dehloran,IR,58.55,overcast clouds,32.6941,47.2679,کافه گیم استورم
259,Tocopilla,CL,68.59,few clouds,-22.092,-70.1979,Hotel Galvarino
261,Raymondville,US,66.31,overcast clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
262,Mogadishu,SO,76.42,few clouds,2.0371,45.3438,Hotel Juba
263,The Valley,AI,78.94,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
265,Makasar,ID,75.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
266,Pinos,MX,61.79,clear sky,22.3,-101.5667,Hotel El Meson Del Conde
267,Correntina,BR,71.67,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
269,Benguela,AO,75.81,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
274,Hargeysa,SO,54.84,few clouds,9.56,44.065,City Center Hotel
275,Cidreira,BR,74.37,clear sky,-30.1811,-50.2056,Hotel Castelo
277,Hambantota,LK,75.51,broken clouds,6.1241,81.1185,Bungalow 63
280,Panzhihua,CN,46.04,clear sky,26.5851,101.7128,Electric Power Hotel
281,Mackenzie,CA,41.22,clear sky,55.2999,-123.1698,Hilton Shop
283,Vila,PT,44.33,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
285,Praia Da Vitoria,PT,57.76,few clouds,38.7333,-27.0667,Hotel Branco I
287,Rocha,UY,68.99,clear sky,-34.4833,-54.3333,Hotel Arrarte
288,Fairburn,US,64.09,broken clouds,33.5671,-84.581,Wingate by Wyndham Atlanta/Fairburn
290,Atar,MR,70.57,scattered clouds,20.5169,-13.0499,Oumou Elghoura
291,Crixas,BR,69.39,overcast clouds,-14.5489,-49.9692,RISO HOTEL
292,George Town,MY,77.95,light rain,5.4112,100.3354,Cititel Penang
293,Mongo,TD,69.75,clear sky,12.1844,18.693,Résidences du Programme FIDA
295,Itarema,BR,78.96,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
297,Havelock,US,58.98,clear sky,34.8791,-76.9013,Sherwood Motel
300,Ahipara,NZ,76.17,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
301,Fukue,JP,50.04,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
302,Khorramshahr,IR,62.56,broken clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
303,Kahului,US,77.68,few clouds,20.8947,-156.47,Maui Seaside Hotel
304,Kotaparh,IN,60.4,scattered clouds,19.15,82.35,Atul Pattnaik
307,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
308,Camacha,PT,63.36,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
309,Mandera,KE,79.9,clear sky,3.9366,41.867,Mwalimu Guest mandera
310,Voh,NC,79.72,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
311,Cefalu,IT,51.55,clear sky,38.0386,14.0229,Hotel La Giara
313,Smithers,CA,43.12,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
314,Luorong,CN,46.96,overcast clouds,24.4058,109.6086,荣立大酒店
315,Najran,SA,59.65,few clouds,17.4924,44.1277,محمد هادي ال فطيح
316,Riyadh,SA,64.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
318,Scarborough,GB,41.52,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
320,Fortuna,US,78.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
321,Kainantu,PG,65.8,overcast clouds,-6.2887,145.8655,Sylvester buku
322,Port Blair,IN,77.38,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
328,Porto Belo,BR,78.75,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
331,Pokhara,NP,51.15,broken clouds,28.2333,83.9833,Butterfly Lodge
333,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
334,Hot Springs,US,64.56,broken clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
335,Bandarbeyla,SO,73.47,few clouds,9.4942,50.8122,JABIR HOTEL
336,General Cepeda,MX,58.53,overcast clouds,25.3833,-101.45,Hacienda Los Jose
343,Batemans Bay,AU,69.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
344,San Pedro,PH,79.11,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
351,Phan Thiet,VN,72.88,overcast clouds,10.9333,108.1,Hotel Saigon-PT
353,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
359,Bilma,NE,62.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
360,San Quintin,MX,70.43,clear sky,30.4833,-115.95,Don Eddie's Landing
361,Asfi,MA,58.21,few clouds,32.2994,-9.2372,Hôtel Abda
362,Alugan,PH,78.62,light rain,12.2188,125.4808,JM Lodge
364,Key West,US,71.01,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
365,Badou,TG,77.31,clear sky,7.5833,0.6,Hôtel Abuta
